No,Salary
34030,83511.93994175138
34031,50369.556612661385
34032,1120.046048071272
34033,145107.03039845848
34034,106173.5042129224
34035,8259.719766908793
34036,44420.133996357945
34037,64913.6559626058
34038,24146.345521997162
34039,107232.15535484246
34040,5926.363174020042
34041,17602.001426638744
34042,63708.166771354845
34043,47443.00680583042
34044,35226.821416500876
34045,84457.36072916526
34046,41418.70713066767
34047,5573.825357385888
34048,133326.9876176612
34049,56866.73659925393
34050,49419.116687852795
34051,19491.622558036335
34052,58037.63923450265
34053,63179.077097153066
34054,95271.42036025878
34055,43662.28675491957
34056,18461.10285221324
34057,30499.796648887623
34058,6824.5514705825135
34059,23839.655856039633
34060,40053.23493473526
34061,4130.29233930489
34062,2743.3150629023175
34063,146139.69299616147
34064,80374.18945826738
34065,98479.6273983196
34066,76361.25860067041
34067,16953.60563485305
34068,80717.18896088416
34069,11848.842501110745
34070,46224.790702243794
34071,46093.424621192054
34072,66918.38235531942
34073,8500.09644995876
34074,65255.13568443452
34075,71581.19218034213
34076,62226.157232376005
34077,9405.128695192285
34078,112209.0449571988
34079,44579.17273925127
34080,56387.77162435362
34081,89532.73140041523
34082,107350.17556745412
34083,36500.2295060848
34084,73578.56296168342
34085,83309.97823192494
34086,36524.33151342998
34087,17870.9328510602
34088,31135.99919164842
34089,99284.51930702358
34090,71771.28125136039
34091,119671.23869919902
34092,6992.895452683181
34093,12313.223188831314
34094,58191.95871234077
34095,132308.09839970042
34096,99870.33297882922
34097,27084.80876329911
34098,75732.27534197946
34099,65037.83282792945
34100,21099.182537978493
34101,12449.817590294917
34102,54673.6671313268
34103,50133.36984800533
34104,62722.51876219264
34105,101524.74030589855
34106,100539.85262632545
34107,49841.87590170503
34108,71051.88258335517
34109,53090.33856540555
34110,92264.25927008018
34111,35383.08450821298
34112,108795.43251424488
34113,7568.171492649572
34114,14822.983909806904
34115,58273.352870606344
34116,77463.88916114769
34117,51292.75867051773
34118,89607.31558081272
34119,46140.78616172281
34120,9269.332520498383
34121,55198.358163491364
34122,65145.36230037726
34123,25430.526840129216
34124,141231.39540569024
34125,63708.63215812999
34126,36248.217114416606
34127,36678.97047803995
34128,36692.12264694911
34129,100804.06738292273
34130,121430.90940176226
34131,25277.94596765979
34132,7265.1762925116045
34133,118190.526584255
34134,89829.0666688489
34135,56677.63462197321
34136,104468.3323254056
34137,97917.59587299294
34138,93181.28150634617
34139,43961.56160832039
34140,32156.988049012765
34141,32034.792756233564
34142,43418.27997545137
34143,46660.51047295014
34144,141278.02638550862
34145,36686.60885065231
34146,123298.89793788551
34147,106170.13703001663
34148,63046.078962882784
34149,61859.21794837924
34150,67108.58071951913
34151,36091.726570879764
34152,115911.76807899575
34153,51569.48851278028
34154,40517.96707257509
34155,25323.478787211752
34156,104514.38525752339
34157,31981.63289091286
34158,46825.5947768698
34159,65273.69866700411
34160,114437.16884661048
34161,16079.463753618165
34162,118611.20150963818
34163,69905.52148352994
34164,88340.67322378207
34165,11365.37321876021
34166,16108.395029867359
34167,-1299.7765449620454
34168,5991.70199704404
34169,131712.26328153754
34170,125012.77221889135
34171,45019.58572642339
34172,40028.86275018977
34173,32808.84915455142
34174,36727.9163516032
34175,112895.98690491145
34176,12227.448332414617
34177,44387.64995792089
34178,169044.31521107597
34179,9978.650837083977
34180,91186.73903725599
34181,64026.00979029776
34182,19380.36105580636
34183,69853.98307443899
34184,36754.144341106614
34185,70933.01828570814
34186,99168.46251058452
34187,33585.20791645015
34188,28164.66062396561
34189,67003.00407804307
34190,51365.42240485918
34191,74035.20924812686
34192,70920.48168018476
34193,7641.204991948092
34194,138980.32489501324
34195,12064.352416998752
34196,108785.70640263043
34197,74122.90785745735
34198,102978.99149609021
34199,11316.158947344484
34200,50785.938446456734
34201,53897.493950472366
34202,129231.29449066268
34203,35049.75429316329
34204,68143.61649825536
34205,31860.909353243493
34206,103577.06505530942
34207,50711.06037219138
34208,24509.218601588702
34209,50811.82343713176
34210,36944.813711051305
34211,66750.82111000794
34212,94287.69158989121
34213,28716.25934941339
34214,14999.89608709049
34215,52341.797843032786
34216,73999.41773928211
34217,25468.908126585942
34218,31458.102352485297
34219,32188.359037815782
34220,34393.82619949394
34221,117822.39136538698
34222,31770.177480059963
34223,7217.964995744079
34224,23571.76153220318
34225,30172.994901162514
34226,90298.347565162
34227,39619.4434581473
34228,66012.5197489383
34229,91963.3161998627
34230,19611.914359336606
34231,126148.14499825994
34232,139748.28292632784
34233,31653.07242267808
34234,32298.450397356362
34235,43612.87991234421
34236,50831.58003519727
34237,30685.36194233038
34238,53696.93388118699
34239,56186.77237614382
34240,116156.71599399012
34241,114794.92630685537
34242,143667.30337398863
34243,76986.1365360959
34244,113641.21950923969
34245,83859.89612120579
34246,23978.11681384053
34247,92531.35751113665
34248,82544.94006808933
34249,58193.992294432486
34250,64882.88333869638
34251,13528.891244624
34252,92918.12788132289
34253,126451.60398303048
34254,7483.576023429489
34255,124628.95890886476
34256,31062.63793344506
34257,56638.05532702019
34258,55458.81506217499
34259,70435.01498271685
34260,140532.76994157513
34261,6254.4708651555065
34262,-518.7621788621783
34263,42122.50159629925
34264,40971.578977763
34265,39615.780000959996
34266,21691.355839368527
34267,18986.86354736459
34268,99122.2634065855
34269,83221.02130359628
34270,117153.28815446071
34271,27031.291585052455
34272,26832.324804618063
34273,58105.92976195828
34274,77705.5182630931
34275,6257.319763393769
34276,39522.45570053003
34277,56356.62093404023
34278,46349.03012079646
34279,67891.14351219518
34280,59289.700954425236
34281,123869.75010308097
34282,15277.838724563713
34283,38192.28762233207
34284,135065.2802370036
34285,62422.93149078168
34286,29186.139619739828
34287,62619.068506164665
34288,76634.25225761237
34289,34479.56057861186
34290,41236.70516031738
34291,142004.22281819003
34292,97527.13805992149
34293,17734.273059858577
34294,-429.7349003568641
34295,16924.803461175634
34296,91918.86133601352
34297,113228.84400029098
34298,77891.23398632539
34299,6420.45574497333
34300,17982.783911354087
34301,106086.85221524863
34302,27812.167683013606
34303,49672.337437857175
34304,71856.37655280592
34305,38172.1572012911
34306,43416.36791967429
34307,41604.293976571265
34308,34659.776242648906
34309,62937.09530902125
34310,17308.355130039294
34311,64986.90305394977
34312,6684.073924145272
34313,57002.63583657884
34314,66671.94556146098
34315,84099.68373488201
34316,47925.08341837003
34317,61122.542390099545
34318,53265.78981146308
34319,126535.30834011706
34320,46227.80905337368
34321,47094.02734027978
34322,28104.6599655539
34323,20810.16319844651
34324,89439.56031535233
34325,77788.39028776754
34326,26152.026625791652
34327,56138.71913687265
34328,22342.077583335784
34329,38062.5349272951
34330,110102.02676434381
34331,51828.46699679874
34332,17141.1369778985
34333,10156.477031234876
34334,28507.172054092316
34335,86374.50435903859
34336,58583.85539250745
34337,61704.5121154106
34338,52189.616187535394
34339,20219.85272472738
34340,100497.77965125816
34341,74392.64736655212
34342,28353.348754099126
34343,17102.093172717257
34344,73285.23107427059
34345,104798.02778721644
34346,86675.60402359825
34347,105262.33555813113
34348,17413.739765304595
34349,10777.81636666208
34350,120204.5782788513
34351,11879.088691433519
34352,122355.55651281099
34353,40968.842061331736
34354,50194.38389060876
34355,124450.76105950061
34356,13534.376132850628
34357,36380.48171929818
34358,5511.8418064854295
34359,62965.83363468048
34360,5898.236897291177
34361,11876.484685641975
34362,25681.099776469782
34363,49690.803392148446
34364,64108.51748956145
34365,59996.497935537314
34366,52485.11212476839
34367,105577.1540438028
34368,34769.37827550272
34369,16822.1751302736
34370,118294.65083183702
34371,79713.27883816892
34372,94942.40037634257
34373,48136.9819013165
34374,78950.29663293036
34375,85043.03446445808
34376,52205.151371196946
34377,26707.91769616743
34378,89319.40988059103
34379,105591.02949768268
34380,46253.79101273328
34381,76348.52321014997
34382,92206.65318943984
34383,68169.73845711786
34384,25494.94551106259
34385,52089.96509291965
34386,81559.82083151607
34387,110099.52554266708
34388,19201.456293469888
34389,39360.01333771261
34390,130658.90874143016
34391,47654.76482827836
34392,102794.578028411
34393,8184.375135323666
34394,57939.95373560078
34395,63343.44379182608
34396,40622.41463727763
34397,142814.0693125991
34398,82206.74578562946
34399,9663.934769939917
34400,46347.65637922821
34401,80725.42636795415
34402,31923.251930062444
34403,70919.44834040412
34404,77216.12640796525
34405,117539.6939759208
34406,43402.062977730995
34407,16672.26152479231
34408,26409.553281992812
34409,50475.602368473985
34410,20300.175963838534
34411,127078.45719683754
34412,45465.964808520104
34413,109019.77650759731
34414,9043.25531354097
34415,87591.04780478564
34416,24848.117113846256
34417,34052.76027382942
34418,109612.52501653033
34419,25827.237624027694
34420,59241.32424393709
34421,75006.41605296641
34422,72093.98921912281
34423,59535.8414776729
34424,84294.25100176879
34425,118248.41467733709
34426,72613.99011056252
34427,51016.76501729809
34428,27561.92013001674
34429,7417.920881696267
34430,87448.5588221687
34431,59990.103486762964
34432,109715.59232540813
34433,39867.46397668105
34434,18646.91717898812
34435,117299.48718533486
34436,22626.980738304945
34437,28907.348781763827
34438,65544.78019678267
34439,12612.937911094665
34440,11101.563046362015
34441,66711.64477685816
34442,63786.211054688705
34443,40370.49709657192
34444,71194.96472868297
34445,42965.752320624204
34446,52608.134959499876
34447,24905.01655046857
34448,50061.60192202748
34449,84467.6947088657
34450,95754.31449855148
34451,24026.195542713856
34452,16034.261735450233
34453,60423.60459010295
34454,46888.403572359806
34455,23023.6158852576
34456,29161.998913240932
34457,33411.08956719094
34458,12468.908092702006
34459,106321.77337325134
34460,63206.46189845866
34461,47780.14930851624
34462,108938.24105740992
34463,41140.12175965572
34464,106955.9558223585
34465,94968.68074211809
34466,10375.705674636143
34467,24817.13123765877
34468,19155.725842217762
34469,108300.75247214115
34470,50228.52709623634
34471,23972.33556415152
34472,47077.917779325784
34473,62366.60584351324
34474,101730.11846116527
34475,76423.90329528553
34476,40389.56767538372
34477,71624.32448509213
34478,59447.598694543354
34479,8075.792961192978
34480,39801.98573391141
34481,6091.986441671903
34482,127501.40019644228
34483,91518.48365224169
34484,26337.595324025366
34485,122075.63224134617
34486,9289.808961611814
34487,15177.846175008266
34488,32932.78578283816
34489,70301.32961780061
34490,37437.018616254005
34491,66563.94304607474
34492,108720.43448731037
34493,29990.57527737842
34494,24217.97938223553
34495,30536.298553611046
34496,74913.74767868443
34497,17163.576288775595
34498,80200.2394044162
34499,107073.60925787434
34500,15011.441950120721
34501,116401.42551184217
34502,22396.782238925683
34503,53741.767676485775
34504,33793.1884679931
34505,145835.84760298356
34506,111307.29591573901
34507,14532.501300134125
34508,46026.115758387925
34509,60352.19465198907
34510,96793.64287960979
34511,132065.8000515185
34512,44340.46022527407
34513,15124.601094568949
34514,57670.628495483616
34515,38899.86211575892
34516,81829.7135954141
34517,35483.25895436684
34518,9122.55033001281
34519,82485.34931132695
34520,79764.88371345174
34521,88869.4934240932
34522,7178.101344569845
34523,20018.312109466347
34524,6810.2793232266995
34525,142430.5359932966
34526,110426.54064915134
34527,73107.26240294838
34528,32032.0010209528
34529,98448.15919191967
34530,44435.873537604326
34531,100750.09094196466
34532,113537.27946318136
34533,59877.62590739199
34534,46167.964312294906
34535,30363.620929976427
34536,50099.38834505196
34537,55110.38387140636
34538,43334.35312573427
34539,1465.5313762065548
34540,27172.77670614443
34541,32587.61594179428
34542,76928.76628964742
34543,17031.32323229708
34544,26026.00169200608
34545,84049.66824826825
34546,64984.05385282209
34547,24948.32510529785
34548,12252.421353903295
34549,73622.34705683382
34550,24371.298071317466
34551,87041.80371474415
34552,7964.4184283582
34553,16212.974601093165
34554,26955.79657181473
34555,95888.77673655657
34556,40987.71440749148
34557,40237.25567853441
34558,43640.997802121296
34559,69741.55912244863
34560,28120.00103783423
34561,58439.93235753753
34562,64922.5121616413
34563,23570.086188190722
34564,16058.143186670777
34565,55787.20718875895
34566,42212.39791935962
34567,136334.8473841814
34568,43174.74649649506
34569,69309.3662919181
34570,5448.016692030006
34571,25467.880208723505
34572,55804.27794694841
34573,47759.473562335465
34574,7005.283531064956
34575,11802.345828034478
34576,64799.00357921556
34577,68544.4906781523
34578,67901.95453821939
34579,22379.270986916556
34580,16123.06887818899
34581,6374.655709456998
34582,32783.174563812056
34583,57381.98271644383
34584,149513.94408163367
34585,9396.169800066009
34586,20264.827805218534
34587,7655.622745782693
34588,36856.58275907402
34589,91626.1320237793
34590,82033.5342377387
34591,23395.090306062644
34592,65137.894735524234
34593,52563.84151530382
34594,37163.66277218538
34595,44753.007474585254
34596,13718.136337339733
34597,56343.69700441045
34598,25453.841477660222
34599,20441.084675066773
34600,38703.05122424288
34601,179956.0440896606
34602,33209.98623845318
34603,69025.98477523652
34604,67249.791578124
34605,82860.7274020766
34606,149096.64962556295
34607,12403.646749570293
34608,20270.366578240715
34609,30453.265856624417
34610,52730.25365908826
34611,19697.839237932752
34612,74710.4164762873
34613,74307.94263458822
34614,27002.362027246043
34615,22203.90142338284
34616,43326.76457764333
34617,61514.443565179325
34618,114769.71802707884
34619,64334.4873117369
34620,114041.3671927588
34621,9255.42566140305
34622,13228.434467039433
34623,10324.895375131558
34624,9109.247917036011
34625,50563.321091984355
34626,57755.212319274135
34627,82832.06852856632
34628,35482.83160470998
34629,18014.01700224339
34630,14083.1410859561
34631,54098.97507183313
34632,20525.939940947545
34633,32231.924041767477
34634,53602.47097142697
34635,116433.41597094425
34636,16242.853537572277
34637,4603.586742251052
34638,14646.897814851958
34639,22704.96860489855
34640,11580.490450186864
34641,28383.839468182323
34642,8842.819797627586
34643,71018.07266517985
34644,34361.02917271409
34645,113922.0705003471
34646,71655.03008640786
34647,101131.21516569765
34648,85498.05517514431
34649,95870.19747907798
34650,51976.152031742655
34651,14040.005946871053
34652,89007.7289239481
34653,95006.80035011047
34654,52822.74298862766
34655,39116.511081032906
34656,35818.93361737159
34657,13924.809652481461
34658,46321.32373735291
34659,93017.69161653605
34660,62971.65708577777
34661,11517.293803068573
34662,32747.423950845594
34663,141073.83125515693
34664,52192.337503660114
34665,51291.93661098418
34666,61820.370617328605
34667,71201.718456675
34668,117057.78617065935
34669,69749.75522635948
34670,83846.00751813583
34671,32349.1078607353
34672,61749.42220568747
34673,8986.793344544236
34674,106648.12911031272
34675,78286.04439380027
34676,61830.5394180894
34677,54217.74194641744
34678,39059.53217692306
34679,20279.02576944972
34680,19733.93317981198
34681,23081.010514686586
34682,54510.63171869028
34683,109113.03609013128
34684,46943.19317627189
34685,17614.485858152253
34686,23537.49181561386
34687,46888.8232125464
34688,119097.83746398779
34689,66821.5936353765
34690,38376.47041778025
34691,5303.252399204504
34692,70003.07241608879
34693,33189.3728085447
34694,25767.223329699693
34695,36089.341485161305
34696,93451.53057462847
34697,81657.0425996145
34698,55885.552351316364
34699,15276.528933726484
34700,78929.10154504696
34701,83644.68007543565
34702,89946.732923609
34703,88507.80000931089
34704,82935.79946905293
34705,84068.62986154921
34706,9240.686688830565
34707,32326.205719053432
34708,92661.66847194797
34709,72361.08904424914
34710,81802.51966346994
34711,115168.72611059129
34712,36831.66946568877
34713,113686.3664327624
34714,11804.547765825024
34715,43004.52775390875
34716,99448.3302840099
34717,122521.00958128413
34718,8754.702453276666
34719,27823.872284896803
34720,18881.171978239625
34721,116326.76641356916
34722,106363.53548477161
34723,63963.8173660818
34724,115998.38527155586
34725,45256.41965466321
34726,50043.4234393272
34727,51386.12417417417
34728,16774.02033520545
34729,32541.293617467825
34730,22710.84572959654
34731,4925.747948300695
34732,36203.22825000673
34733,29625.696222299997
34734,118154.30095653112
34735,44916.98270772558
34736,57558.18678914431
34737,3839.8276863800334
34738,51583.834519142525
34739,50001.78567918588
34740,20322.46629266477
34741,97510.833540714
34742,59180.57454964127
34743,56383.781121265216
34744,10378.212561996588
34745,20898.67131078436
34746,19398.534538923715
34747,26783.67155579734
34748,24894.41885773741
34749,115093.14687156491
34750,60916.762001236275
34751,94266.67743513624
34752,59114.45378651848
34753,29292.05547725435
34754,57670.53075103186
34755,98323.22677364165
34756,112356.00933785798
34757,6034.698961339683
34758,64626.56875094017
34759,78929.26156955177
34760,21324.924004394732
34761,17300.734168309
34762,79043.43611816883
34763,47732.33454034667
34764,69984.71806107857
34765,29350.496741337232
34766,36340.09736043787
34767,34881.54394235435
34768,78318.93099400662
34769,83441.86443706357
34770,69512.09248122081
34771,11384.87581424263
34772,54146.122084807335
34773,25509.828140935413
34774,102463.55627203855
34775,91889.84361535952
34776,107730.33995856058
34777,28325.322248018747
34778,71736.99199142196
34779,30279.90796574026
34780,55322.81584628
34781,84926.78594783731
34782,17341.50921377868
34783,28444.40283999543
34784,28950.59190883371
34785,63805.081543440545
34786,49960.05850858531
34787,87329.6831215679
34788,121703.4550351668
34789,113937.25454742894
34790,22204.130768947667
34791,11043.160883283725
34792,120188.7328580151
34793,6993.816350302754
34794,56735.42992577493
34795,12111.50143712082
34796,52021.150891229954
34797,16172.631402437086
34798,20837.993861041316
34799,36026.468655988974
34800,36767.93074244189
34801,123145.41565580401
34802,94219.07366109641
34803,19603.245866067216
34804,47046.79935681844
34805,27067.03498087864
34806,19629.207160394686
34807,109526.41885450299
34808,11632.785909001757
34809,51984.41949665247
34810,121836.64718686503
34811,75113.9446817284
34812,32759.70354754183
34813,91497.1197793898
34814,18834.529790718545
34815,22025.467000965007
34816,19029.39683094896
34817,37130.77728021501
34818,64339.151437517496
34819,8322.623793164132
34820,45819.50748024581
34821,39512.9106538288
34822,14584.632436701253
34823,19140.386254787314
34824,76191.86314989069
34825,9800.291618183723
34826,24860.08753700469
34827,9182.012010325263
34828,124045.89140959462
34829,81090.51172633871
34830,9349.986995933366
34831,12613.9541085876
34832,95063.27019528995
34833,140330.70536836435
34834,23394.89767195926
34835,45073.513295246354
34836,81225.26457763312
34837,7336.301717951381
34838,136828.2958902458
34839,62788.087671250585
34840,39863.68506834395
34841,72608.56805605855
34842,10310.247938919583
34843,107490.94555261535
34844,76052.50995594975
34845,33907.41601932535
34846,43044.00352349534
34847,9259.74293323927
34848,26968.280794028968
34849,114084.81037337003
34850,19291.284652203474
34851,70982.59292351287
34852,27552.848552541716
34853,29800.913142229816
34854,7196.938940476866
34855,33392.87517230159
34856,14426.726977322516
34857,47015.11367663844
34858,86846.08155204504
34859,49030.5481785568
34860,73432.05259436027
34861,54117.919512371875
34862,55327.97750508659
34863,52216.99720715948
34864,41470.0105466236
34865,13543.7826633644
34866,69886.8874481545
34867,109030.28852957372
34868,115024.15714825813
34869,61196.747091875586
34870,9553.501952152557
34871,53042.15428821641
34872,129306.08810994854
34873,38515.264209672685
34874,35355.4699623428
34875,15770.663058969982
34876,101753.26303640012
34877,8454.502212951811
34878,18764.235294384867
34879,149067.73317872852
34880,40167.29571288544
34881,28300.215855622286
34882,79039.73389756825
34883,74723.49977632302
34884,97983.43218444068
34885,101545.53676829791
34886,21013.203871004454
34887,37501.87058183746
34888,10193.6794811839
34889,47164.89243630949
34890,13499.755164500808
34891,104975.95435460222
34892,16179.000554034657
34893,73657.98780718962
34894,19671.50173764495
34895,47868.69440305881
34896,11168.657162020267
34897,83174.25662894323
34898,32559.717797467885
34899,28391.58821759424
34900,78228.2837593286
34901,23977.522843760296
34902,58824.018079797206
34903,92863.13674993884
34904,19963.563576704746
34905,91151.12583178101
34906,59761.495150489856
34907,71283.3653781103
34908,121164.99461572983
34909,64087.668356400674
34910,21357.70577284478
34911,113280.00596763409
34912,87685.77693406833
34913,89628.04952960405
34914,117046.09924123445
34915,46480.65690593519
34916,116281.91874561619
34917,19715.98422216732
34918,44824.63160123187
34919,40072.03062830287
34920,114420.16678703668
34921,63016.33506701162
34922,31540.223843018186
34923,20323.9592231968
34924,70180.92292368287
34925,70165.57823186636
34926,12254.232309765632
34927,123715.39959526874
34928,60688.15964625411
34929,87147.7503171198
34930,93658.64699560723
34931,10276.780787864287
34932,22840.370017659807
34933,19010.004210943032
34934,137442.68725763733
34935,83718.17414642136
34936,27360.240715216227
34937,157039.75758992237
34938,23436.667747587497
34939,46823.48544334231
34940,86719.958439001
34941,60702.980552808614
34942,125539.12402466069
34943,34802.944990311975
34944,93930.47737102206
34945,38050.890167195925
34946,141602.981519102
34947,27085.470434604096
34948,75349.02201445866
34949,79472.96881823204
34950,14367.517453975383
34951,98439.22327683377
34952,10080.06269670295
34953,106820.31578432646
34954,53294.61473195083
34955,42248.752219014066
34956,21258.31079680205
34957,69175.38498011896
34958,121688.59477503436
34959,64311.99715295055
34960,24420.276053405363
34961,126518.21177389551
34962,6880.5071063815785
34963,106765.76478263068
34964,79078.40639047996
34965,112558.53962662726
34966,76615.25638635167
34967,117666.15509698675
34968,6812.55765279556
34969,67437.91723436768
34970,124068.78183442386
34971,31195.13693500088
34972,95121.98298204542
34973,21494.344614079095
34974,36254.28079174502
34975,119426.53800482208
34976,49762.74123133963
34977,49277.89278997034
34978,33806.47815158979
34979,14897.290666110037
34980,8347.941566507743
34981,12674.285455651332
34982,40160.09123662531
34983,46036.12219011545
34984,81026.24921735693
34985,28231.539745722443
34986,29285.008383521916
34987,9011.17380065183
34988,21054.647887631854
34989,93768.70654364165
34990,75308.82080619434
34991,144334.31504571746
34992,57283.52724615932
34993,75399.9069594647
34994,35060.36919650688
34995,12058.900922185565
34996,12815.93947945775
34997,48063.69690225811
34998,47562.0972874356
34999,91056.94703042046
35000,50975.05216111732
35001,54735.47983019895
35002,51033.439786546056
35003,47630.05380566248
35004,36952.99837934442
35005,118380.14554196737
35006,70164.44608262199
35007,93782.94562670632
35008,16237.118272918757
35009,39996.872366480864
35010,94808.01971842482
35011,37995.535387780365
35012,38666.59750584359
35013,7824.410457933735
35014,56496.270497219026
35015,20209.422839607694
35016,5453.478671693122
35017,68116.54285367878
35018,61213.78247251444
35019,128074.37486845673
35020,19177.570580492746
35021,39167.3214707815
35022,78379.82511904974
35023,64878.463473876254
35024,68557.04251185068
35025,5359.900689079459
35026,68052.46118898438
35027,40667.01616300279
35028,122463.81556768122
35029,51306.83817096587
35030,19734.91253358765
35031,138912.34870224452
35032,79567.72151646407
35033,80500.90412264738
35034,80978.752174667
35035,50549.5993211857
35036,9550.96796625617
35037,82926.56276954841
35038,68474.40208516941
35039,23001.705925837414
35040,122727.78253228878
35041,34664.81979275741
35042,18334.18672419569
35043,8588.730433926532
35044,10329.45553699087
35045,9982.75794453796
35046,9093.051054558757
35047,95559.8284640592
35048,56391.93483307042
35049,84138.52462761398
35050,67934.02183299919
35051,5952.005251749349
35052,75066.85136309508
35053,9759.852412457169
35054,6757.010482654487
35055,31654.616136928165
35056,115800.7444849195
35057,22676.079678325637
35058,104388.81752324812
35059,45849.08607717797
35060,113355.46455402969
35061,40676.61313548552
35062,71125.75151928121
35063,41863.20005354853
35064,36970.96503777782
35065,96341.01755270225
35066,16169.341570963228
35067,17930.730118103536
35068,87215.86184187318
35069,34914.68354467462
35070,42423.431321042764
35071,56557.61444305366
35072,15468.30429119099
35073,114764.78648016973
35074,70788.92970133423
35075,79116.82224061435
35076,92095.02837757109
35077,7690.761506547927
35078,24516.54190632814
35079,127144.72397494377
35080,77355.90612603619
35081,17202.022569024724
35082,56216.04623937301
35083,37423.43249207248
35084,87039.28735907558
35085,155380.81695600093
35086,18022.920068548858
35087,114431.56427113732
35088,130937.08672263252
35089,100873.20430637768
35090,144011.92447272697
35091,13283.06655695318
35092,101385.03188516728
35093,33460.129146316496
35094,36305.31340005532
35095,42506.629839807174
35096,9507.879444246653
35097,125852.48174504131
35098,41342.22049119656
35099,16536.107308977942
35100,24903.483599269464
35101,50508.47123719476
35102,17585.831979066617
35103,84600.34766088263
35104,21838.795190889843
35105,103951.93286135634
35106,29757.879261783895
35107,107894.99141738034
35108,6082.519356619749
35109,52605.78809615064
35110,59655.15938286505
35111,116455.34289322018
35112,40184.36620005278
35113,115537.73858742403
35114,69865.03285359353
35115,33798.56032274235
35116,6319.438589557276
35117,81373.12837943899
35118,5847.857847452719
35119,95591.3053804139
35120,84647.300845138
35121,127107.9899412654
35122,92322.82907851269
35123,111138.86005990338
35124,15429.804838463486
35125,83733.54111846701
35126,76990.6730521871
35127,34683.077592204936
35128,84308.96712967567
